genres,tags,app_name,item_id,combinacion
[Movie],Movie,Shane Mauss: Mating Season,646750,[Movie] Movie Shane Mauss: Mating Season
"[Casual, Simulation]","Casual, Simulation",Rocksmith® 2014 Edition – Remastered – Evanescence - “Everybody’s Fool”,509712,"[Casual, Simulation] Casual, Simulation Rocksmith® 2014 Edition – Remastered – Evanescence - “Everybody’s Fool”"
"[Action, Adventure]","Action, Adventure",Saints Row IV - Pirate's Booty Pack,247299,"[Action, Adventure] Action, Adventure Saints Row IV - Pirate's Booty Pack"
"[Action, Free to Play, Strategy]","Free to Play, Strategy, Action, MOBA, Multiplayer",Vanguards,546600,"[Action, Free to Play, Strategy] Free to Play, Strategy, Action, MOBA, Multiplayer Vanguards"
"[Action, Adventure, Indie]","Indie, Adventure, Action, Puzzle, First-Person, Singleplayer, FPS, Sci-fi, Puzzle-Platformer, Linear, Level Editor, Funny, Platformer, Science, Strategy, Narration, Atmospheric, Shooter, Colorful, Dark Humor",ChromaGun,408650,"[Action, Adventure, Indie] Indie, Adventure, Action, Puzzle, First-Person, Singleplayer, FPS, Sci-fi, Puzzle-Platformer, Linear, Level Editor, Funny, Platformer, Science, Strategy, Narration, Atmospheric, Shooter, Colorful, Dark Humor ChromaGun"
[Action],Action,DW8E: Edit Parts - Equipment Pack 1,348681,[Action] Action DW8E: Edit Parts - Equipment Pack 1
"[Action, Indie, RPG, Strategy]","Space, Action, Indie, Sci-fi, Strategy, Top-Down, RPG, Zombies, Procedural Generation, Singleplayer, Open World, 2D, Pirates, Exploration, Shooter, Sandbox, Adventure, RTS",Space Pirates and Zombies,107200,"[Action, Indie, RPG, Strategy] Space, Action, Indie, Sci-fi, Strategy, Top-Down, RPG, Zombies, Procedural Generation, Singleplayer, Open World, 2D, Pirates, Exploration, Shooter, Sandbox, Adventure, RTS Space Pirates and Zombies"
[Simulation],Simulation,Office and apartment buildings US style,371470,[Simulation] Simulation Office and apartment buildings US style
"[Casual, Indie, Strategy]","Casual, Strategy, Indie, Tower Defense",Space Panic Defense,746540,"[Casual, Indie, Strategy] Casual, Strategy, Indie, Tower Defense Space Panic Defense"
[Action],"Action, Survival, Zombies",Kovac’s Way DLC,289730,"[Action] Action, Survival, Zombies Kovac’s Way DLC"
[Indie],"Indie, Education, Music, Great Soundtrack, Dragons, 2D",Flute Master,380100,"[Indie] Indie, Education, Music, Great Soundtrack, Dragons, 2D Flute Master"
